Code,Longitude,Latitude,Province,District,PGA_NS,PGA_EW,PGA_UD,Rjb,Rrup,Repi,Rhyp
"3429",28.25964,41.08492,"İstanbul","Silivri",72.6685444533,106.363096016,34.4933533101,15.453915188554083,39.92552022306167,25.0424980156,25.9810143539
"5906",27.93164,40.97338,"Tekirdağ","Marmaraereğlisi",107.381913656,68.3362872717,29.0576035665,25.03405164664051,26.43895018679122,29.1505290055,29.9606365303
"3428",28.729595,40.984553,"İstanbul","Avcılar",99.2674065009,81.1246448979,64.2440645488,41.23234365655178,6.0249636053107265,43.0506357446,43.6032526082
"3415",28.75848,41.02729,"İstanbul","Küçükçekmece",210.197863226,138.987994367,71.5936873265,44.351057639234554,7.984668608078808,47.0117112588,47.5182848542
"5917",28.005353,41.2706,"Tekirdağ","Çerkezköy",24.9634407485,25.7345466601,12.3302601974,40.6261420675612,41.23504075506898,49.8627614421,50.3406533394
"5907",27.77633,41.1418,"Tekirdağ","Çorlu",18.4012652561,21.9986814785,12.6569560697,43.702253353491194,44.76939947118133,50.2495873415,50.7238349101
"3416",28.83635,40.97466,"İstanbul","Bakırköy",37.9496410156,27.0630348507,33.3360927901,50.09136963572232,50.16603532217637,51.3433253112,51.8075617455
"3431",28.71567,41.186225,"İstanbul","Arnavutköy",100.674629858,160.574834636,56.0355419944,47.87480594872098,50.828822432949416,53.6524110821,54.0968355352
"1659",28.391528,40.375063,"Bursa","Karacabey",8.02178123782,9.23617870771,4.66680028285,45.705748816152926,45.78756668363746,55.333244038,55.7642743678
"3434",28.8205,41.140337,"İstanbul","Eyüp",158.758624482,99.2805704227,63.7181514028,53.16745982434858,48.46174506779455,57.5212622858,57.9360165609
"5908",27.54794,40.98205,"Tekirdağ","Süleymanpaşa",11.2131628001,11.3252213153,7.41236589805,57.28348799818304,58.31109348769954,60.0730363041,60.4702909766
"1006",27.99662,40.33193,"Balıkesir","Bandırma",24.8518136968,28.3297784458,11.8424962281,53.41927947902933,54.111541705783765,62.3352989295,62.7182261598
"7706",28.82662,40.51305,"Yalova","Armutlu",34.3620064188,26.6193343811,9.32610310049,55.89032589250745,55.95725436736484,62.433603109,62.8159310778
"3411",28.97605,41.01187,"İstanbul","Fatih",31.4222068999,44.2021660664,20.3491826317,62.17416692119002,23.386404319166743,63.733972048,64.1085453977
"3413",28.94818,41.09433,"İstanbul","Eyüp",26.5870706718,19.0772252787,11.631217749,61.59651542477258,15.220710500488597,64.568828604,64.9385865821
"5910",27.48608,40.98109,"Tekirdağ","Süleymanpaşa",20.9879954305,27.1726317795,6.49765651025,62.47238039342915,63.43796383739111,65.1250003602,65.4916183333
"7716",28.944615,40.608968,"Yalova","Çınarcık",45.4240723571,38.5143607131,24.1979264965,60.54975613418447,60.61153979130123,65.2648245957,65.6306615044
"7714",28.88833,40.52275,"Yalova","Armutlu",25.027006559,22.9764074733,7.25581451086,59.8966207650855,59.95907743652961,65.980056993,66.3419499322
